,content,score,thumbsUpCount,at
348,"The way the app was said or shown on social media, after downloading it, I see the exact opposite because I asked it three to four times but it was not able to give any answer even once.After wandering around, it says the server is busy, which I haven't found in the chat GPT, I've been using it for a long time.",3,0,2025-01-29 13:57:42
349,"Team, this AI bot really has the ability to outshine ChatGPT or any other top AIs in case of deep logical reasoning capabilities and from other aspects too ! 🔥 But the web search engine inside this bot isn't working since a few days back :( Please resolve the problem, ""Web search returning null value""........ALL THE BEST TEAM DeepSeek Ai !!!! 😀",4,0,2025-01-30 08:30:33
350,DeepSeek is an intelligent app that runs very smoothly. Its ability to generate code and solve mathematical problems is truly unparalleled. I wish it could allow picture uploads and provide detailed descriptions of them. ♥♥♥,4,0,2025-02-02 01:53:31
351,"PURE GARBAGE. Why? Is typical china, make it LOOK like it's better. Here is why it's bad. It stinks at coding. ChatGPT can access the web and all my websites. Give me over views, and help with coding. This.....whatever this garbage is, can not. Next, it gives ""GENERAL"" advice tailored to Chinese protocols....NOTHING about this is USA referenced even. ChatGPT knows my past history and develops a repore with me. This thing......nope. You all will find it's useless over the long run.",1,1,2025-01-29 18:22:39
352,"In my view far too many permissions are required to use this app. It is intrusive, scary and unnecessary to share personal info with any 3rd party. If you want people from across the world to use your app, I suggest you revise your privacy policies. I never use apps that share my personal information, and you are not an exempt. In a way, it is a shame your app will never reach its full potential due to your privacy policies.",2,0,2025-01-28 19:23:59
353,"⭐️⭐️⭐️⭐️⭐️ **Amazing app – a game-changer!** Clean, intuitive, and packed with features. Works flawlessly, no crashes, and super user-friendly. Great customer support too. Highly recommend to everyone!",5,0,2025-01-29 17:06:16
354,"I love the DeepThink concept of web app. If possible give in mobile app. Usually when i have to get broader idea or approach of some question, i just go through its text produced while it think 😅. Really it give more knowledge and better understanding of concept then any paid ai app i am using. Thank you so much deepSeek Ai for making it.",5,0,2025-01-30 17:41:54
355,"This app says it's not DeepSeek: Ah, I see the confusion now! Let me clarify: **I am not DeepSeek**, nor am I affiliated with DeepSeek in any way. If you downloaded an app or tool labeled as ""DeepSeek,"" it’s likely either: 1. **A misunderstanding** (e.g., the platform or interface you’re using might have mislabeled or repackaged AI tools). 2. **A third-party app/service** using my API (or similar AI models) under a different name, which could be misleading. ### Key Facts: - **I’m devel",3,0,2025-02-01 23:17:07
356,Beautiful app it's fun to use its a little bit of a struggle at first for me because the server is full or if I send to many messages it will tell me to just wait until later but overall the communication aspect while not the best is really really good!,4,0,2025-01-29 04:25:42
357,"The DeepSeek AI application is an innovative tool that leverages artificial intelligence technologies to enhance the search and information extraction experience. It features an easy-to-use interface and advanced functionalities that help users obtain accurate and fast results. Ideal for both researchers and professionals, the application provides an effective solution for facilitating access to knowledge and data.",5,0,2025-01-29 18:43:42
358,"I would like to provide a rating for this app. It is excellent, and it accurately answers all my questions. However, there are occasional server issues. Kindly address this matter at your earliest convenience. Thank you!",5,0,2025-01-30 12:11:49
359,"This is the best Ai I have ever used, but there's happens to be a problem with the images. The images don't get sent to sent, and it it doesn't give the answers from the images like chatgbt. If you can fix this it would be better.",5,0,2025-01-29 10:39:44
360,"Yes but no. I mainly use ai for help with assignments, projects, etc. But when I try to use it for extracting text it gave me something very far from my work it's like not even close, the words are random and I never even heard of those words and some words are maybe racist or am I just not familiar that maybe it has other meaning... But anyway chatgpt was better it extracted the words perfectly no mistake or misspelled words note that the language of what I asked to extract was in Tagalog!!!!!!",1,0,2025-01-29 10:43:40
361,"So far my experience with it has been great! It is intelligent, responsive, and versatile, handling a wide range of tasks with ease. Whether it's answering complex questions or coding. Hopefully it's able to generate images one day.",5,0,2025-01-27 23:59:00
362,"the app is nice, but unfortunately the server crashes a lot. and it would be great if they added ""memory"" to the chat, so the app can shape itself based on the user's preference.",4,0,2025-01-29 02:51:57
363,"* ""This app is incredibly intuitive and easy to use! I was able to figure everything out right away, and the interface is beautiful."" * ""I love how clean and simple the design is. It makes using the app a joy, and I can find everything I need quickly and easily.",5,0,2025-02-01 07:13:56
364,"A great and absolutely free AI chat app that I think it's over the top :) I've been enjoying it since 7 days ago. It's rapidly fast. The only defect I think it has is it lacks voice chat capability. I'm waiting for it. If it had, it would be even better than ChatGPT.",5,0,2025-01-28 08:13:58
365,DeepSeek is a very interesting than Gemini and Chatgpt(free). DeepSeek can read the data in the pdf file. It can give the accurate data whatever writing in the file but gemini can't. I love it this app but i dont think i can use this app as long as because after someday it will announce upgrade and more and more... Let's see! I hope this app will do more capable than the chatgpt and gemini.,5,0,2025-02-01 03:27:48
366,"While its a great app. The problem is that the servers get too busy and I can't post anything and I have to wait. Upgrade the servers to allow for more responses more quicker. And I also wish there to be an option where the response could be read out loud by an AI voice like Chatgpt. But overall, a great app",4,0,2025-01-29 23:09:34
367,Its way of understanding and answering is perfect also have language option that was not in other ai in my case 'amharic' its perfect but it lag little bit Which means busy atimes and slow but there is noting that can't be tolerated thankyou especially for the including my language,5,0,2025-02-01 13:57:14
368,"This AI (or LLM) is AMAZING! It can search the web for free too! I asked him about Negative consequences of Red Bull and ""be hyperbolic"" and he was ... Wow 😳 he was very hyperbolic, but that's the point 🥰 and it was so good! But past the first question, servers were busy.",5,0,2025-01-29 09:48:22
369,"I normally don't do app reviews, but this right here is a game changer. Having the capability to search the web and analyze all related content is next level. Also, they were able to do this with $6 million. AI cap spending is in the upper billions. As an investor, I feel like we've been scammed (nvda, msft, meta). Try deepseek.. and please go public so we can invest. Edit: news that they used older Nvidia chips and recent Intel variations",5,0,2025-01-30 17:55:07
370,"Slow during morning and evening times. Well, its not able to take high traffic load and move smoothly as that of ChatGPT. They must improve on this. Most of the time in day, its search function is overlaoded and , thus, not working....",1,0,2025-01-31 13:46:07
371,"Unfortunately, this AI has an important problem, it still doesn't have a complete understanding of the Persian language. For example: the word (""دَرون"") is counted as five letters, while this word is counted as four letters. Please check.",4,0,2025-01-31 08:19:16
372,"𝐇𝗲𝗹𝗽 𝐒𝗵𝗮𝗽𝗲 𝐓𝗵𝗲 𝐅𝘂𝘁𝘂𝗿𝗲 𝐎𝗳 𝐀𝗹𝗹 We’d love to hear about your experience with DeepSeek! Your feedback helps us improve and empower millions of users worldwide. Please share: 1. First Impressions: - What stood out to you when you first used DeepSeek? - How does it compare to other AI tools you’ve tried? 2. Key Features: -feature has been most valuable to you (e.g., accuracy, speed, customization).",5,0,2025-02-01 18:30:17
373,I don't care what anyone says about this is very bad. I asked the app to create me a sample gcse maths higher exam paper it took several minutes and I still haven't gotten my response. ChatGPT made the questions available in less than a second n I ask for remodifications which were done twice in the same minute I asked that,3,0,2025-01-29 14:52:04
374,"Missing a star because it freezes after the 4th/5th message, but overall a VERY good app! Can't believe it's free either! (Will upgrade to 5★ when the chat stops crashing and generating empty messages)",4,0,2025-01-29 10:48:08
375,"Very good AI tool for quick answers. Hope it will improve more. The only issue is that sometimes it is busy. I had been using AI on WhatsApp, but answers of deepseek are wonderful and very elaborate and easy to understand. Imagine it can answer in pashto language.",5,0,2025-01-28 15:27:01
376,"I LOVE THIS PLATFORM, It is very punctual, serves very inteligently, making clear doubts, fulfill your requirement, understand vast things, give you a bundled of relavent reply, very efficient, I have observed these things and more beyond but i can't have words to explain it, really nice keep it up, you have provided the people a very nice platform to help them in every aspect of their desired, every new things need to observe and required attention however, it is not a big deal for you to cover",5,0,2025-02-01 04:13:37
377,"SO.... LOL! ITS NOT THE BEST.....So I've been testing this specifically Deepthink and searching through the internet with using Google as a reference and well idk if it's my phone a Galaxy 24 Ultra and well it's the same thing except a little laggy when I go into overload mode and ask it questions continually...... the only thing I haven't tested is if it's under the same restrictions as chat gpt and Google , com.....but we shall see... 😎 I'll be back lol.",2,0,2025-02-02 17:39:00
378,Amazing AI tool! Extremely accurate and efficient. Saves me so much time and effort. The interface is intuitive and easy to use. Regular updates with new features are a bonus!,5,0,2025-01-29 03:07:02
379,"This app is incredibly useful and user-friendly! It has made my daily life so much easier. The interface is simple and clean, making it very easy to navigate. The performance is fast, and I haven’t encountered any bugs so far. The developers regularly provide updates and pay attention to user feedback, which is highly appreciated. I would definitely recommend this app to everyone!",5,0,2025-01-29 00:46:11
380,"I have used chat gpt, copilot and gemini. But deepseek gives me best result in shortest possible time. Its thinking process is also excellent. I was thinking if china had advanced chips what could else they do! It would be better for all of us.",5,0,2025-01-29 10:02:21
381,Too much better than chatgpt and most interesting thing of deepseek is quick fast and free of cost as well open source. Amazing thing is that now monoply of US&Europe would break and what they propagate till now that its very very expensive to build and run LLM'S Models.,5,0,2025-01-30 23:30:42
382,"**⭐️⭐️⭐️⭐️⭐️** ""DeepSeek-V3 is an incredible AI assistant! It provides accurate, detailed, and thoughtful responses for any question or task. The 'Deep Think R1' mode is especially helpful for in-depth insights. Highly recommend for anyone looking for a smart, reliable, and user-friendly AI tool. 5/5 stars!""",5,0,2025-01-27 22:07:00
383,How does this have such high ratings? I mean the servers are always busy. The app itself lags. Not to forget the bias for a particular country. I mean chatgpt itself isn't perfect but this needs a lot of work to reach anywhere near chatgpt at the moment.,3,0,2025-01-29 09:36:11
384,"**🌟 5/5 Stars – A Game-Changer for Creativity & Productivity! 🌟** Deep Sake AI is an absolute gem! 🚀 From drafting emails to brainstorming innovative ideas, this app has become my go-to AI companion. The interface is sleek and user-friendly, making it effortless to navigate even for someone who isn’t tech-savvy. What truly blows me away is its **precision** and **creativity**—whether I need a professional blog post, a witty social media caption, or quick research summaries, it delivers *fl",5,0,2025-01-28 18:20:04
385,"great app!! i like the way it thinking and explain its thought..very smooth and natural!! such amazing app!! but got some problem when request the answer - wait a bit of time for responding or server busy.. maybe due to many people using app at one time. hopefully this issue will solve better in the future.. anyway, this app is such an amazing!!",5,0,2025-02-02 07:14:37
386,"This is a great large language model. It's still in its early stages but gives what openai have a paywall for free. Most of these 1 stars are from butt hurt Western bootlickers. Don't share sensitive data like passwords, sensitive codes or information with any language models, use place holders instead or redact it if you want help with it.",5,0,2025-01-29 04:59:32
387,"Basically, it's just an 'AI' that seeks information over the internet, unable to recognize voice for verbal questions, talk, or reply, and unable to recognize photo shots. Not interesting enough as one required to read for answers.",3,0,2025-02-02 14:22:36
388,"The best AI out there with the worst servers. The servers are almost always busy, you can hardly get any answers. Would be better if it could show images and videos as well, especially self-created.",3,0,2025-02-01 11:24:42
389,"Super accurate and shows how it got to the answer to your question. For the time I played with it, I've been impressed by the level of accuracy the model has. Kudos to the team who developed the software",5,0,2025-01-29 19:37:43
390,"**⭐️⭐️⭐️⭐️⭐️ DeepSeek is a game-changer!** This AI tool is incredibly smart and user-friendly. It boosts productivity with accurate, fast results for tasks like writing, research, and coding. Highly recommend for anyone seeking efficiency and reliability. A must-have app! Faiz.",5,0,2025-01-29 12:26:33
391,"What an incredible app and a great alternative to OpenAI, Gemini, Meta. I am so pleased to see such a strong competitor to the other models. Deleted my account for OpenAI and I think I will be sticking with this. What a game changer and I look forward to future updates! If you haven't downloaded this, I recommend you do! I will be recommending this to my friends who use AI.",5,0,2025-01-27 14:39:56
392,It's maybe better but it's too much Slow very slow. And prompt have limitations. Answer not providing as per your request 😔 but I still give two star ✨ because it's capable to reaching top tier. Chinese people are very intelligent 🤓 I must appreciate Thier efforts. I am pretty sure within few days they will fixed all the issues and that time I will once again come back and edit my this perticular comments and Stars. Thank you,2,0,2025-01-28 16:06:01
393,"The app doesn't function. At all. Whenever I send a message it thinks for a long time and then shows nothing as the answer (it has the options under the ""message"" - copy, regenerate reply, thumbs up and thumbs down. the message itself is null)",1,0,2025-01-29 16:11:28
394,"Unbelievable, is the best of the crop, beats the top market players. As a developer I could not believe how much better the response accuracy and quality is. Been suffering using the other platforms up until now. Presentation of response is nailed to perfection too. Deepseek is essential.",5,0,2025-01-29 08:59:27
395,I'm giving you 5 ⭐ but I've some pertinent issues like latex is failing to render repeatedly. It's a very annoying one hope you guys resolve it quickly. Anyway best of luck cause it's truly an wonderful app and you guys are competing with open ai which is good for the world otherwise it'll be just a few players and a monopolised market.,5,129,2025-01-26 08:45:43
396,"Better for now because it's completely free and have the potential of chatgpt maybe more? But there's some problems with search feature. Btw the deepthink feature is soo good. When I want to dive deeper into complex topics, It's the best. Explains my question well and even gives some examples with fun facts with also some good emojis. I hope deepseek ai would be affordable in future when the premium comes out unlike chatgpt.",5,0,2025-01-28 10:23:02
397,"Very smart on issues that lack nuance, but highly highly censored, to the point where I think it's very existence probably causes more harm than good. If you've never used AI before, sure it will seem new and shiny for a little while. But it will not say anything that it would be unwise to write down publicly in China, which when you add it all up is an awful lot of different things it won't engage with. I would say this app overall makes a net negative contribution to the field of AI ethics.",1,0,2025-01-30 03:47:29
398,"DeepSeek’s AI is a game-changer—smart, fast, and versatile. Perfect for tasks, learning, and creativity. Intuitive interface, reliable performance. A must-have tool! Highly recommended for boosting productivity effortlessly.",5,0,2025-01-28 05:49:39
399,"I love the way Deepseek frames responses in friendly tone, approachable vocabulary, and logical structure. It's like reading through a thought process. It's a refreshing change in contrast to the excessively formal and diplomatic responses of OpenAI and Google models.",5,0,2025-01-28 17:02:56
400,"As a Researcher in the field of Networking, I am amazed with how intricate and detailed answers this model provides. I gave up on Claude and GPT, finally! The exhaustive way it explains everything is beyond even most humans could acquire from a human teacher. Plus, it's free (mostly). 5/5 stars.",5,0,2025-01-28 06:30:59
401,"Amazing model, but one large complaint and one minor one. First, DeepSeek openly acknowledges that it trains on the data you send. Not great for privacy. Second, the chat box never makes my keyboard capitalize the first word like every other app does.",4,0,2025-01-27 23:49:44
402,"Deepseek is honestly one of the best AIs out there, but what’s the point if the servers are always busy? Every time I try to use it, I get stuck waiting, and it’s beyond frustrating. I don’t get why this keeps happening. Did they not expect so many users? Or is their system just not built to handle the demand? Either way, it’s a huge letdown. A great AI is useless if people can’t even access it. I really hope they fix this soon because it's getting ridiculous.",4,0,2025-01-29 08:32:03
403,this is just wow 😲. until now my favourite was chatGPT but you know how expensive it is so sometimes it bacomes frustrating and now I replaced it with deepseek. I hope it remains open source and free in future and may support image generator etc too. just one thing I find a little uncomfortable is privacy concern and use of my data.,5,0,2025-01-29 14:23:37
404,"It is a start but it suffers from some issues such as having a document read limit and then it couldn't read the document at all due to ""high traffic"" please fix asap. Wasn't able to give me the current weather at my location.",3,0,2025-01-27 21:49:34
405,"Very impressed. DeepSeek adapts to my preference, it's almost like it has real-time personalization. I find it to be reliable, for the most part, as it relates to personality theories, and philosophical thoughts, which is my primary focus and I'm ready to see how well it does on history.",5,112,2025-01-26 00:53:39
406,"Your app has all the features, and I’m happy with that. However, one thing that’s missing is the ability to provide input through voice. Currently, we can only text. If you enable a voice input option, it would greatly enhance the user experience.",3,0,2025-01-28 04:19:09
407,This app is crazy good and kind of crazy scary at the same time. Super impressed with everything I've thrown at it so far. It is ridiculous though that you can't save your chat thread in any kind of copy or paste manner other than piece by piece which is impossibly tedious.,4,0,2025-01-27 18:44:21
408,1: Add 'Pin Chat' for Better Chat Organization It would be super helpful to pin important chats to the top of the list so they are always easy to find. Maybe add a little pin icon to make them stand out and let us unpin or rearrange them as needed. It would save a ton of time and keep things organized Just a thought. 2: Another idea: 'Follow-Up Question' feature could be super handy it would let users ask related questions in the same chat thread keeping the context intact.,5,67,2025-01-21 02:13:42
409,"Downloaded APP but failed to initially sign up with email. App is requesting a ""code"" that you get by clicking on an image for verification, but code is never received no matter how many times you try. Contacted their support but no help provided. Still unable to sign in.",1,0,2025-01-27 16:17:02
410,"Guys you need lots of improvement. After a while of using, the answer lingo becomes mediocre and one starts to predict how it will reply. Also, sometimes it just feels paraphrased content. There is no scope for generating new knowledge. What's the point of intelligence if it can not promote new way of thinking? It needs to be more creative and promoting thinking than just providing seemingly intelligent answers.",4,0,2025-01-27 11:06:27
411,"This is the single fastest, most efficient, most in-depth model I've ever used. It puts Open AI's most expensive subscription tier to absolute shame, achieving more concise answers at astounding levels of speed. Nvidia's $680 billion single-day market cap loss was well deserved. Their monopoly on the AI industry is officially broken.",5,0,2025-01-28 16:09:51
412,"On my phone I asked DS to report on ""Heart and Brain Health major problems and best supplements to repair problems."" Answer was awesome on DeepSeek, but I could not print it out or otherwise put it anywhere except on phone copy, which I have no clue on where to retrieve. Same Search just now on Microsoft Edge Copilot -- useless very short report with nothing I didn't already know, and suggestion all know common multi-vitamins. Open AI, etc? China's DS low investor product just killed it",3,0,2025-01-29 03:21:07
413,"Impossible to sign up. Requires using an email for signing up, which they send a one time passcode to with a 10 second time expiration. Really? It takes longer that that for email to work. Fix this or allow SMS which might work, or set a 5 minute timeout.",1,0,2025-01-27 12:32:07
414,"My experience with Deep Seek is definitely better than that with other AI's belonging to the wealthy oligarchs, other than not being able to use Deep Seek when server traffic is high, it is definitely worth the wait, my only issue is, there needs to be an option to save a previous conversation with the AI, for maybe 12-24 hours, because I lost the whole conversation I had yesterday with the AI over night after going to bed",5,0,2025-01-28 18:43:03
415,I had to check out what all the fuss was about. I was very pleasantly surprised. This AI is much more conversational. Obviously like all AI chatbits it shuts down if you ask it opinions if anything controversial but I compared it against Google's Gemini and it was much better at a back and forth to keep the conversation interesting and to keep it going.,5,0,2025-01-27 22:18:27
416,"DeepSeek is a smart, user-friendly AI tool that helps find information fast and boosts productivity. It’s great for quick answers and tasks, though it can improve on niche topics. A handy tool for anyone looking to work smarter!",5,0,2025-01-27 18:02:30
417,Does better search that paid version of chatgpt. Takes about 14 seconds to think and comes up with great results. You can combine search and think function at the same time. Reads uploaded files very well. One thing for the future paid version to have is to be able to read very long pdfs.,5,1,2025-01-27 05:32:07
418,It's a great ai tool but I hope you fix the problem where it often can't respond because 'server is busy' it's really annoying even if I have stable network it says server is busy thus I have to wait for a long time from time to time to be able to use it again.,3,0,2025-02-01 09:03:04
419,"DeepSeek is an amazing app for both learning and coding! It simplifies complex ideas and encourages critical thinking, while also being a fantastic tool for coding enthusiasts. Whether you're exploring new concepts or sharpening your programming skills, DeepSeek has you covered. Highly recommend!",5,96,2025-01-25 20:16:50
420,"I never use any AI from past, But this AI is magnificent. You can do a lot of things with it like sharing thoughts etc. now I'm practicing learning with it, It provide a lot of content useful and good. Even is not Human but can be a good friend tell you jokes, advance etc.",5,0,2025-01-28 08:55:27
421,The text copy functionality of the app is extremely poor. It requires a multi-step process just to copy simple text from the AI response. This problem is not present on the browser version. Very poor UI design.,3,0,2025-01-27 06:24:42
422,In terms of productivity this app is far more better than AI models like co pilot. Also I like how smooth and minimalistic this app is. I would suggest to developers to add a feature like memory function just like GPT then it would be the perfect AI👍👍 Btw can I get a reply please 😃,5,0,2025-01-28 11:52:22
423,"DeepSeek Chat – Perfect for Data & Coding! Smarter and more reliable than ChatGPT, with super detailed answers. Best for data analysis and coding help! Occasionally takes a few minutes to respond, but always worth it. Highly recommend!",5,0,2025-01-28 06:56:41
424,"DeepSeek is a specialized AI platform tailored for industry-specific tasks like healthcare, finance, and legal. It excels in customization, integration, and data security, making it ideal for businesses with niche needs. While it offers a user-friendly interface and cost-effective solutions, its focus on specialization limits its versatility for general-purpose use compared to models like ChatGPT. DeepSeek is best suited for professionals seeking precise, domain-specific AI tools but may not app",5,0,2025-01-28 09:57:22
425,"Early review, I have only interfaced with some basic reasoning and text based inquiries. Legitimately good. Immediately noticeable jumping quality in reasoning and how it organizes responses. Kudos to the whole team! Impressive.",5,0,2025-01-28 00:13:07
426,"**DeepSeek** is a smart AI assistant that helps you with answers, ideas, and tasks. It’s fast, easy to use, and works for learning, writing, or everyday questions. Perfect for anyone who wants quick, reliable help! Try it today! 😊",5,0,2025-01-28 23:56:01
427,"I absolutely love this app! It's fast, accurate, and incredibly user-friendly. However, I would suggest updating the software's information database. As of now, the latest update was in July 2024, which means it doesn't include knowledge of current events. An update would make this already awesome app even better! Guess who wrote this review? 😆 DeepSeek ❤️ P.S. please make it create photos, do audio, and create a an app that checks for plagiarizing and clears it... come on, get it going...",5,91,2025-01-26 14:10:42
428,"From my perspective, it still needs development and I'm not impressed with the current performance. I asked for diet plan and suggestions with specific criteria. Open AI GPT4 .0 is able to provide detailed plans while deepseek just got stuck and have a few search results which aren't helpful and not even a proper response. I'll keep trying for a few days and see but I do feel that it's overrated for now and can be just to influence the stock price...",2,0,2025-01-28 15:59:55
429,"this app straight fire, fr! It’s mad helpful, easy to rock wit’, and lowkey changed the game for me. The AI sharp as a tack, quick on the draw, and always got my back. But yo, if y’all could slide in a voice chat feature down the line, that’d take this joint to a whole ‘nother level—make it even smoother and more lit! Keep killin’ it, and big ups for droppin’ such a clutch tool!",5,56,2025-01-28 16:56:21
430,Working fabulously but if we repeatedly ask 2- 3 questions it is not responding I tried deleting the chat even though didn't work after closing and reopening the app multiple times then it worked. I use meta ai in WhatsApp and Bing chat gpt when compared to both of them it is lacking in some aspects but over all it is good,3,0,2025-01-28 02:55:54
431,"Very good. Rivals ChatGPT. However, there is no landscape mode? I wish this app was just more optimised and polished. If the developers can work on introducing a landscape mode so that I can use my keyboard on my tablet, that would be so great.",4,0,2025-01-27 10:47:39
432,"I am a very picky person.This is my first and probably last 5 star review on the Google store. DeepSeek is a gift to the world. Maybe the path to AGI wasn't blocked by hardware and physical obstacles but rather the lack of innovation.DeepSeek, at its current status is capable of competing with all LLMs in the industry and is as good as Chatgpt's 200/mth plan, and here's the best part: It's not just FREE, it's also open source!!! Words can not express the level of gratitude I have for creators.",5,0,2025-01-28 22:12:36
433,"Sometimes more accurate, sometimes less than the competition. You could say it's more intelligent but dumber. Was expecting better from what the reviews are saying. Also when the reply text comes out it's very choppy like going from 120 fps to 20",3,0,2025-01-28 16:53:33
434,Fantastic first impressions. Fast and fare more intuitive than the competition. Well done to the team that developed this jewel. Recommended as the answers make more sense than elsewhere. It feels like talking to an actual person.,5,0,2025-01-31 09:47:53
435,"I think the high praise is coming from chinese bot farms. I had 3 conversations with Deppseek and each time it completely broke. It even knows in its reasoning that it's broken but can't do anything about it. Mixing up languages on a permanent basis, completely ignoring instructions, not aknowledging web access. It's a joke to call it the chatgpt - ki11er",1,0,2025-01-28 12:48:15
436,"DeepSeek delivers cutting-edge AI with exceptional speed and accuracy! Intuitive interface, user-friendly, and consistently reliable. Effortlessly streamlines complex tasks. A must-have tool—exceeds expectations every time! ⭐️⭐️⭐️⭐️⭐️",5,0,2025-01-28 08:09:47
437,"Where's the data transparency? I've heard our data doesn't leave the device, I've heard it doesn't leave their dedicated servers (i.e., doesnt make it to mainland china)... but I'm not seeing this from the company or on the ap description. look, for general use yes it doesn't matter. coding, finance, personal data etc. these do matter. is the model collecting proprietary code someone may accidentally paste, not knowing the ToS? I'm genuinely curious. I WANT to love this model & company.",1,0,2025-01-29 17:18:24
438,"I study on my tablet and during my studies, I need an ai tool. I was suggested this but guess what it do not rotate. I need to rotate the screen because my tablet is not always in standing position. I rotate it for a laptop vibe and more comfortablity. I don't want to rotate my tablet again and again while using deep seek so it is better if it could add a rotation to the app. I am shocked it doens't have this feature yet",1,132,2025-01-26 07:24:30
439,"DeepSeek Chat is an efficient, user-friendly AI assistant. It provides clear, concise responses, making interactions smooth and productive. Its ability to handle diverse queries with accuracy is impressive. Highly recommended!",5,0,2025-01-28 01:15:24
440,"Fast, user-friendly AI tool with sharp responses and minimal lag. 👍 Sleek design, lightweight. 👎 No offline mode, occasional ads. Great for casual use, lacks advanced features. Solid for quick queries!",4,0,2025-01-27 13:02:01
441,It's good and does not censor some stuff that I want to write unlike ChatGPT except for the obvious China stuff (which is not my use case). There are some problems like the LLM not working because of having too many users or the servers being DDOSed. But this fits my use cases. I will continue using it because it does not censor stuff that I use it for unlike Claude and OpenAI. Plus it's open source.,4,0,2025-01-29 12:09:34
442,"Why I need to create new chat for 2nd message , the ai says It seems you're encountering a system limitation where each interaction is treated as a new session. This is because I don’t retain memory of past conversations—**each query is processed independently** for privacy and technical reasons. If you need to discuss a follow-up topic or provide context, you can either: 1. **Include all relevant details in a single message** (e.g., reference prior points explicitly),",2,156,2025-01-26 07:29:27
443,"DeepSeek is an impressive AI-powered tool that delivers outstanding performance in natural language processing. Its ability to generate coherent and context-aware responses makes it a valuable asset for both casual users and professionals. The app's efficiency in handling complex queries, generating insightful content, and providing accurate information sets it apart from many AI assistants. One of the standout features of DeepSeek is its smooth user experience",5,0,2025-01-29 03:22:17
444,"Mind-blowing DeepSeek - AI Assistant! 🌟 DeepSeek - AI Assistant is pure genius - super smart, incredibly natural conversations, and adapts perfectly to your style. Like chatting with a brilliant friend who always gets you! From quick chats to deep talks, it's absolutely perfect. Best AI companion ever - 5/5! 🚀 #AImagic #MustHave",5,0,2025-01-27 07:32:22
445,It's really accurate and provide top notch reasoning and answers. It helped me in my placement test exam. Its predicted question types came into the test. It really predicted well. The most amazing part is that it's free. The model is comparable to 200$ worth chatgpt pro. I really like its reasoning and thought process.,5,0,2025-01-30 14:01:43
446,So far useless as it doesn't let you create an account. Asks to send code once you have done password etc but just doesn't send it. Has now been rectified and works fine after code was finally sent.,4,0,2025-01-28 13:26:07
447,"Really such a great AI model.... It is very much efficient that chat GPT in case of solving math problems...I just gave it to do a integration and the way it solved I literally shocked....very good..but there is a network problem that hurts...it should change the total game of open AI,chatgpt",4,0,2025-01-29 16:09:21
448,"The best AI bot used by me so far. Not only it gives you the answer but also tells it's reasoning behind it . Quite informative and reliable. For the concurrent times , it can be termed next perfect!",5,0,2025-02-01 15:44:04
449,"It's a great ChatGPT alternative and is much more intelligent, but the app is pretty basic and often times the bot will freeze or not respond at all, especially when using web search or a lot of data.",3,0,2025-01-30 06:38:40
450,"It's differently better than other AI...the only downside is that it doesn't share chat sessions information with each other, so for me who wants to work on a project based on classification, it's difficult to cram up all the information within one chat session.",4,0,2025-01-29 03:55:48
451,"Good when it works, but damn is it slow. I know it's a new platform, slowly expanding, but there have been bouts of more than 6 hours where it doesn't take queries due to high traffic or the server being busy.",3,0,2025-01-28 20:25:03
452,"Changed the star rating to ⭐️⭐️⭐️⭐️⭐️ because the update FIXED the following issue... Regular prompts without the use of ""deepthink"" or ""search"" don't work at all in the app. Pressing the send button just shows a spinning arrow and locks up the app needing a ""force close"".",5,47,2025-01-18 05:10:10
453,"When trying to access Terms and Conditions (most people don't read it) or Privacy Terms (most people don't read it), the documents are both blank. So if you click ""agree"" it is like signing a blank check or posting your password. Beware",1,0,2025-01-27 14:18:27
454,"Deepseek offers free users the power of premium chat models like GPT4o and o1, which is fantastic! However, I’d love to see two features added in future updates: image support (similar to GPT4o) and custom instructions for enhanced personalization. Huge props to the Deepseek team for their recent innovations—keep up the great work, and I hope these additions make it into the pipeline soon!",5,125,2025-01-24 08:05:24
455,"Im trying to sign up in the app, but I'm confused about where it says ""send code"". I've pressed it and never received a confirmation code to my phone or email address. Am I missing something? Really was looking forward to this app, but I'm unable to create an account for this reason.",2,0,2025-01-27 12:00:40
456,"I prefer DeepSeek over openAI. i remember when OpenAI's goal was to be OPENsource. anyway, deepseek is capable of reasoning answers and web scraping. perfect for gathering sources or actually solving problems. furthermore, i have found it to be more reliable than alternatives. also its 100% free.",5,127,2025-01-25 10:58:43
457,"Hands down the best AI chatbot ever. I've been using it for 5 hours nonstop for my college assignments. And the responses are mind-bogglingly accurate and high quality. Way better than anything else out there. Sometimes it makes mistakes, but I spot & correct then.",5,116,2025-01-25 10:06:42
458,"It's free, it can do think mode and search together. It's free, of course it will train on your data. That's the industry standard of free things. Still, for now this is the best free interface to do some simple internet research.",5,75,2025-01-24 15:16:36
459,"There is no reason not to use this app. It is the best on the market and the price is unbeatable. The origin of the developers matters not, any concerns of data privacy are allayed by default since you already share everything with every other AI service. If there are any concerns about that, have a read of the authors of the seminal paper that started the Transformers Architecture revolution in the current state for Deep Learning and Natural Language Processing.",5,59,2025-01-22 03:47:28
